CompYearlyUSD,Country,EdLevelSimplified,YearsCodeNum,Employment,DevTypePrimary,RemoteCategory,SalaryLog10
130000.0,United States of America,Some college,49.0,Employed,System administrator,Hybrid-Flexible,5.113943352306837
11500.0,"Iran, Islamic Republic of...","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, full-stack",,4.060697840353612
75183.0,Hungary,Some college,30.0,Employed,"Architect, software or solutions",Remote,4.876119651218857
110000.0,United States of America,Some college,30.0,Employed,"Developer, full-stack",Remote,5.041392685158225
111975.0,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.049121071116725
170000.0,United States of America,Some college,30.0,Employed,"Senior executive (C-suite, VP, etc.)",Remote,5.230448921378274
35169.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, back-end",Remote,4.5461600197057335
131570.0,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Employed,"Developer, full-stack",In-person,5.1191568746903044
35000.0,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Employed,AI/ML engineer,Remote,4.544068044350276
112534.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",36.0,Employed,"Developer, back-end",Hybrid-InPerson,5.0512837560609425
65663.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, front-end",Remote,4.817320720819186
98612.0,Netherlands,Some college,20.0,Employed,"Architect, software or solutions",Hybrid-InPerson,4.993929767037324
58007.0,Italy,Some college,12.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,4.7634804052514905
81761.0,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,"Developer, full-stack",Hybrid-Choice,4.912546194579116
99000.0,Russian Federation,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Remote,4.99563519459755
136450.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Employed,Data engineer,Hybrid-Flexible,5.134973540005915
131097.0,Nomadic,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Employed,"Developer, full-stack",Remote,5.117592753487544
163000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,Employed,"Developer, mobile",Remote,5.212187604403958
40605.0,Italy,Some college,17.0,Employed,"Developer, embedded applications or devices",In-person,4.608579514826188
100000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,Employed,"Developer, mobile",Remote,5.0
82000.0,United States of America,Some college,10.0,Employed,"Developer, full-stack",In-person,4.913813852383717
34804.0,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, full-stack",In-person,4.541629159983864
80000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,Employed,Data or business analyst,Hybrid-Flexible,4.903089986991944
5513.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,Employed,"Developer, full-stack",Hybrid-Flexible,3.741387992479269
116212.0,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,5.065250975426973
105000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",39.0,Employed,Applied scientist,Hybrid-Flexible,5.021189299069938
68071.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.8329621306735255
20883.0,Algeria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,Employed,"Developer, full-stack",Remote,4.319792888480451
255000.0,United States of America,Some college,35.0,Employed,AI/ML engineer,Hybrid-InPerson,5.4065401804339555
92812.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,Product manager,Remote,4.967604131357432
71134.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,"Developer, front-end",Hybrid-Flexible,4.852077230588534
60755.0,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.78358202520127
52207.0,Greece,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, back-end",Hybrid-InPerson,4.717728737821343
116015.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,5.064514144365488
96660.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.9852467908028615
98612.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22.0,Employed,"Developer, desktop or enterprise applications",In-person,4.993929767037324
98827.0,Norway,Some college,17.0,Employed,Data engineer,Hybrid-Choice,4.994875612088368
50759.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,4.705513057497532
132000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,Employed,"Developer, back-end",Remote,5.12057393120585
116015.0,Belgium,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",28.0,"Independent contractor, freelancer, or self-employed",Project manager,,5.064514144365488
74249.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27.0,Employed,"Developer, back-end",Hybrid-Flexible,4.870690608865931
121815.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,Employed,"Architect, software or solutions",Hybrid-InPerson,5.08570076954585
225000.0,United States of America,Some college,13.0,Employed,"Developer, full-stack",Remote,5.352182518111363
44480.0,Bulgaria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.648164778574001
275000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28.0,Employed,"Founder, technology or otherwise",Remote,5.439332693830263
165000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, full-stack",Remote,5.217483944213907
150000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24.0,Employed,DevOps engineer or professional,Remote,5.176091259055681
69609.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13.0,Employed,"Developer, full-stack",In-person,4.842665394749131
195000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, full-stack",Hybrid-Choice,5.290034611362518
120000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,"Developer, embedded applications or devices",Hybrid-InPerson,5.079181246047625
145000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11.0,Employed,"Developer, full-stack",Remote,5.161368002234975
15111.0,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, back-end",Hybrid-InPerson,4.179293205577373
92812.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23.0,Employed,AI/ML engineer,Hybrid-Flexible,4.967604131357432
120000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,Engineering manager,Hybrid-InPerson,5.079181246047625
151995.0,Japan,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Developer, full-stack",Remote,5.181829301707106
11601.0,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Senior executive (C-suite, VP, etc.)",Remote,4.064495426792728
58007.0,Germany,Some college,10.0,Employed,DevOps engineer or professional,Hybrid-Choice,4.7634804052514905
165000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32.0,Employed,"Developer, full-stack",Remote,5.217483944213907
77730.0,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, embedded applications or devices",Hybrid-Flexible,4.8905886677054875
130474.0,Bulgaria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",23.0,Employed,"Developer, back-end",Remote,5.115523976950022
110000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25.0,Employed,"Developer, full-stack",Remote,5.041392685158225
81870.0,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,"Independent contractor, freelancer, or self-employed","Developer, mobile",Remote,4.913124790389559
66392.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",49.0,Employed,"Developer, front-end",Hybrid-InPerson,4.822115751579304
38598.0,Romania,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7.0,Employed,"Developer, QA or test",Hybrid-Flexible,4.586564801784012
120000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Employed,"Developer, QA or test",Hybrid-Flexible,5.079181246047625
51071.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.708174361678332
29409.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.468480257357613
109054.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17.0,Employed,"Developer, back-end",Hybrid-Choice,5.037641599727357
133419.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",42.0,"Independent contractor, freelancer, or self-employed","Developer, embedded applications or devices",Remote,5.125217681211562
54000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, full-stack",In-person,4.732393759822968
23710.0,Croatia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Employed,"Developer, back-end",Remote,4.374931553978188
125000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Employed,Data engineer,Remote,5.096910013008056
123000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10.0,Employed,Data scientist,Remote,5.089905111439398
31583.0,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,Data or business analyst,In-person,4.499453380313337
142269.0,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21.0,Employed,"Architect, software or solutions",Hybrid-InPerson,5.1531102788922905
130000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Developer, desktop or enterprise applications",Remote,5.113943352306837
99223.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",21.0,Employed,System administrator,Hybrid-Flexible,4.996612353759925
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, back-end",Remote,5.176091259055681
111636.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Developer, full-stack",Remote,5.047804267004613
62257.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Employed,"Developer, mobile",Remote,4.794188189349445
109438.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.039168147635356
150000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3.0,"Independent contractor, freelancer, or self-employed",Student,,5.176091259055681
103253.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, full-stack",Hybrid-Flexible,5.013902678870986
4545.0,Turkey,Some college,7.0,Employed,"Developer, back-end",Remote,3.657533887557986
145000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,DevOps engineer or professional,Remote,5.161368002234975
157000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9.0,Employed,System administrator,Hybrid-InPerson,5.195899652409234
98612.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, front-end",Hybrid-Choice,4.993929767037324
120000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, embedded applications or devices",Hybrid-InPerson,5.079181246047625
34872.0,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8.0,Employed,Data engineer,Remote,4.542476856009627
58007.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,Employed,Academic researcher,Hybrid-Choice,4.7634804052514905
8182.0,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,Employed,"Developer, desktop or enterprise applications",In-person,3.912859475162355
176485.0,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,Employed,"Developer, back-end",Hybrid-Flexible,5.246707799275905
102093.0,Finland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",43.0,Employed,"Developer, mobile",Hybrid-InPerson,5.008995965734395
24749.0,Serbia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Employed,"Developer, front-end",In-person,4.393557655663294
1910.0,Poland,Some college,23.0,"Independent contractor, freelancer, or self-employed","Developer, desktop or enterprise applications",,3.2810333672477277
190000.0,United States of America,Some college,33.0,Employed,Data scientist,Remote,5.278753600952829
8271.0,Romania,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7.0,Employed,"Developer, full-stack",Remote,3.917558020825436
230000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,"Developer, back-end",Remote,5.361727836017593
80000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, full-stack",In-person,4.903089986991944
400000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,Engineering manager,Hybrid-InPerson,5.6020599913279625
52207.0,Spain,Some college,30.0,Employed,"Developer, full-stack",Remote,4.717728737821343
95299.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.9790883434844915
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",45.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Hybrid-Choice,5.176091259055681
80254.0,Canada,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19.0,Employed,"Developer, full-stack",Remote,4.904466687614416
127616.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20.0,Employed,"Developer, embedded applications or devices",Hybrid-InPerson,5.105905127959524
104413.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,Employed,"Architect, software or solutions",Hybrid-Flexible,5.018754574114343
120000.0,Argentina,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,Employed,"Developer, full-stack",Remote,5.079181246047625
75410.0,Portugal,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, full-stack",Remote,4.87742894078822
117168.0,Singapore,Some college,45.0,"Independent contractor, freelancer, or self-employed","Founder, technology or otherwise",Hybrid-Choice,5.068809016792776
7296.0,Canada,Some college,6.0,Employed,Student,In-person,3.86308482532036
76800.0,Kenya,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, full-stack",Remote,4.885361220031512
145018.0,Spain,Some college,20.0,Employed,Data engineer,Remote,5.161421911307407
46406.0,Slovenia,Some college,33.0,Employed,DevOps engineer or professional,In-person,4.666574135693451
46924.0,Republic of Moldova,Some college,10.0,Employed,"Developer, back-end",,4.671395026117902
95299.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",32.0,Employed,"Developer, full-stack",Hybrid-Flexible,4.9790883434844915
140023.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.14619937819729
24575.0,Brazil,Some college,26.0,Employed,Data engineer,Hybrid-Flexible,4.390493526504173
62648.0,Slovenia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",36.0,Employed,"Developer, back-end",Hybrid-Flexible,4.796907210959406
54633.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22.0,"Independent contractor, freelancer, or self-employed","Architect, software or solutions",Remote,4.737455049089966
73089.0,Germany,Less than secondary,11.0,Employed,"Developer, back-end",Remote,4.863852019929494
180000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24.0,Employed,"Developer, full-stack",Remote,5.2552725051033065
180000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,Employed,"Developer, full-stack",Remote,5.2552725051033065
131000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, full-stack",Hybrid-Flexible,5.117271295655764
7977.0,Bangladesh,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, full-stack",Hybrid-InPerson,3.9018395920512297
105000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Employed,"Developer, full-stack",In-person,5.021189299069938
58007.0,Spain,Some college,14.0,Employed,"Architect, software or solutions",Remote,4.7634804052514905
70000.0,Nicaragua,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,"Independent contractor, freelancer, or self-employed",Data scientist,Remote,4.845098040014257
99773.0,Belgium,Some college,28.0,Employed,"Developer, embedded applications or devices",Hybrid-Flexible,4.999013030891847
8121.0,Ghana,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5.0,Employed,"Architect, software or solutions",Remote,3.909609510490169
300000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",40.0,Employed,"Developer, full-stack",Remote,5.477121254719663
230000.0,United States of America,Some college,9.0,Employed,"Developer, full-stack",Remote,5.361727836017593
7536.0,Brazil,Some college,4.0,Employed,"Developer, desktop or enterprise applications",In-person,3.8771408897848207
83857.0,Estonia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",41.0,Employed,"Developer, desktop or enterprise applications",Hybrid-Flexible,4.923539321378414
129000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, back-end",In-person,5.110589710299249
48000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",Remote,4.681241237375588
15111.0,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,Employed,"Developer, back-end",Hybrid-Flexible,4.179293205577373
106000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Employed,"Developer, desktop or enterprise applications",Remote,5.02530586526477
162421.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",44.0,"Independent contractor, freelancer, or self-employed","Architect, software or solutions",,5.210642180043727
118613.0,Bulgaria,Some college,20.0,Employed,"Developer, embedded applications or devices",In-person,5.074132290367719
121815.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",29.0,Employed,"Developer, full-stack",Hybrid-Choice,5.08570076954585
23203.0,Slovakia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",35.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.36554414002947
136141.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",27.0,Employed,"Developer, mobile",Remote,5.1339889363147595
75410.0,Finland,Less than secondary,21.0,Employed,"Developer, back-end",Hybrid-Choice,4.87742894078822
12060.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8.0,Employed,"Developer, back-end",Hybrid-Flexible,4.0813473078041325
139218.0,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, mobile",Hybrid-Flexible,5.143695390413113
24878.0,Ecuador,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, back-end",Remote,4.395815463483539
55687.0,Germany,Some college,12.0,Employed,DevOps engineer or professional,Hybrid-InPerson,4.745753821974157
121815.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, full-stack",Hybrid-Flexible,5.08570076954585
76729.0,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,Employed,"Developer, embedded applications or devices",Hybrid-InPerson,4.884959538128897
44043.0,Colombia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, back-end",Remote,4.6438768933849
190598.0,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,5.280118339148473
100745.0,United Kingdom of Great Britain and Northern Ireland,Less than secondary,17.0,Employed,"Developer, back-end",Hybrid-Choice,5.003223501202289
115000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, full-stack",Hybrid-Flexible,5.060697840353612
146329.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.165330404675396
500000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,Employed,AI/ML engineer,In-person,5.698970004336019
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,Employed,"Developer, back-end",Remote,5.176091259055681
116015.0,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,5.064514144365488
126456.0,Ireland,Some college,7.0,"Independent contractor, freelancer, or self-employed",DevOps engineer or professional,Remote,5.1019394402843945
130000.0,United States of America,Some college,45.0,"Independent contractor, freelancer, or self-employed",Applied scientist,Hybrid-Flexible,5.113943352306837
8000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,3.9030899869919438
58007.0,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14.0,"Independent contractor, freelancer, or self-employed","Architect, software or solutions",Remote,4.7634804052514905
500000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",39.0,Employed,Project manager,Hybrid-InPerson,5.698970004336019
67289.0,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15.0,Employed,Data engineer,Hybrid-Flexible,4.827944074183014
81210.0,Austria,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,"Independent contractor, freelancer, or self-employed","Senior executive (C-suite, VP, etc.)",Remote,4.909609510490169
71929.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, back-end",Hybrid-Choice,4.85690402252099
225000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,Employed,"Developer, back-end",Remote,5.352182518111363
16383.0,Brazil,Some college,30.0,Employed,"Developer, desktop or enterprise applications",Hybrid-Flexible,4.214393431255206
27306.0,Brazil,Some college,17.0,Employed,Engineering manager,Remote,4.436258085890037
94339.0,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Employed,"Architect, software or solutions",Remote,4.97469126838219
69414.0,Netherlands,Some college,20.0,Employed,"Developer, full-stack",Hybrid-InPerson,4.841447071457164
347180.0,Switzerland,Some college,35.0,Employed,"Developer, full-stack",In-person,5.540554698820649
102000.0,United States of America,Some college,45.0,Employed,"Developer, full-stack",Remote,5.008600171761918
5241.0,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12.0,Employed,"Architect, software or solutions",Remote,3.7194141597025934
127677.0,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18.0,Employed,"Developer, front-end",Remote,5.106112669599132
116015.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18.0,"Independent contractor, freelancer, or self-employed",Data scientist,,5.064514144365488
251706.0,Canada,Some college,35.0,Employed,"Architect, software or solutions",Remote,5.400893568094386
208562.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,Engineering manager,Hybrid-Choice,5.319235182836141
400000.0,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20.0,Employed,"Developer, mobile",Remote,5.6020599913279625
87462.0,Norway,Some college,18.0,Employed,"Developer, back-end",Hybrid-InPerson,4.941819404166313
204212.0,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,"Independent contractor, freelancer, or self-employed","Developer, back-end",,5.31008125871396
43375.0,Hungary,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13.0,Employed,"Architect, software or solutions",Hybrid-Flexible,4.63723948779893
116015.0,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,Financial analyst or engineer,Hybrid-Flexible,5.064514144365488
83280.0,Hungary,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12.0,Employed,"Developer, full-stack",Hybrid-InPerson,4.9205407165024795
116943.0,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,Employed,"Developer, full-stack",Remote,5.0679742308278755
83792.0,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15.0,Employed,"Architect, software or solutions",Hybrid-Choice,4.923202556557411
216000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6.0,Employed,"Developer, full-stack",Hybrid-InPerson,5.334453751150931
87550.0,Canada,Some college,13.0,"Independent contractor, freelancer, or self-employed","Developer, mobile",Remote,4.942256150419465
139218.0,Germany,Some college,30.0,Employed,"Architect, software or solutions",Hybrid-Choice,5.143695390413113
350000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35.0,Employed,"Developer, desktop or enterprise applications",Hybrid-Flexible,5.544068044350276
130000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16.0,Employed,"Developer, full-stack",Remote,5.113943352306837
52207.0,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4.0,Employed,DevOps engineer or professional,Hybrid-Flexible,4.717728737821343
12014.0,Brazil,Some college,7.0,Employed,"Developer, full-stack",In-person,4.079687627611336
480000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,Employed,"Architect, software or solutions",Remote,5.681241237375588
36407.0,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10.0,"Independent contractor, freelancer, or self-employed","Architect, software or solutions",,4.561184893789089
58007.0,Italy,Some college,40.0,Employed,"Architect, software or solutions",,4.7634804052514905
59916.0,Ukraine,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16.0,"Independent contractor, freelancer, or self-employed","Developer, full-stack",,4.777542812102735
62893.0,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",30.0,"Independent contractor, freelancer, or self-employed","Developer, front-end",,4.798602311096355
200000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1.0,"Independent contractor, freelancer, or self-employed",Project manager,,5.301029995663981
150000.0,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9.0,Employed,Applied scientist,Remote,5.176091259055681
